Year,Passengers,TheYear
1970,7.3187,1/1/1970
1971,7.3266,1/1/1971
1972,7.7956,1/1/1972
1973,9.3846,1/1/1973
1974,10.6647,1/1/1974
1975,11.0551,1/1/1975
1976,10.8643,1/1/1976
1977,11.3065,1/1/1977
1978,12.1223,1/1/1978
1979,13.0225,1/1/1979
1980,13.6488,1/1/1980
1981,13.2195,1/1/1981
1982,13.1879,1/1/1982
1983,12.6015,1/1/1983
1984,13.2368,1/1/1984
1985,14.4121,1/1/1985
1986,15.4973,1/1/1986
1987,16.8802,1/1/1987
1988,18.8163,1/1/1988
1989,15.1143,1/1/1989
1990,17.5534,1/1/1990
1991,21.8601,1/1/1991
1992,23.8866,1/1/1992
1993,26.9293,1/1/1993
1994,26.8885,1/1/1994
1995,28.8314,1/1/1995
1996,30.0751,1/1/1996
1997,30.9535,1/1/1997
1998,30.1857,1/1/1998
1999,31.5797,1/1/1999
2000,32.577569,1/1/2000
2001,33.477398,1/1/2001
2002,39.021581,1/1/2002
2003,41.386432,1/1/2003
2004,41.596552,1/1/2004
2005,44.657324,1/1/2005
2006,46.951775,1/1/2006
2007,48.728837,1/1/2007
2008,51.488427,1/1/2008
2009,50.026967,1/1/2009
2010,60.640913,1/1/2010
2011,63.36031034,1/1/2011
2012,66.355274,1/1/2012
2013,68.197955,1/1/2013
2014,68.12323767,1/1/2014
2015,69.779346,1/1/2015
2016,72.446421,1/1/2016
2017,74.257326,1/1/2017
